1,568,9860.10,2019-12-08 09:00:08,18
2,428,11475.06,2020-12-02 05:38:14,17
3,83,11894.08,2021-10-12 00:48:05,20
4,551,264.20,2019-04-20 20:12:48,13
5,315,2362.62,2019-11-08 12:35:55,9
6,482,2429.03,2019-01-30 12:09:08,4
7,983,5980.84,2019-04-13 20:00:49,9
8,617,562.69,2019-02-17 19:56:10,10
9,163,6719.50,2018-10-08 16:04:25,4
10,393,16198.57,2020-10-05 13:40:22,4
11,1036,10140.30,2021-04-23 18:02:07,7
12,180,1264.21,2018-04-19 11:37:34,15
13,85,12894.17,2019-04-01 09:59:16,19
14,864,248.53,2021-05-09 12:00:08,7
15,621,370.62,2021-03-25 00:12:52,10
16,55,14846.12,2021-11-22 06:33:26,16
17,898,1770.83,2019-12-31 22:54:46,8
18,229,3154.44,2020-06-01 23:37:03,15
19,720,3986.54,2022-04-12 21:15:19,8
20,742,630.52,2020-05-04 08:44:28,17
21,673,2799.00,2020-06-21 06:59:47,15
22,501,1744.96,2019-09-11 17:39:22,19
23,150,6489.29,2019-11-09 03:04:34,7
24,983,223.22,2019-06-27 09:38:23,15
25,666,305.09,2021-05-19 23:40:37,6
26,567,8089.78,2022-02-28 02:40:37,1
27,925,35.21,2018-05-22 10:23:38,6
28,449,2986.77,2020-08-07 00:30:11,10
29,383,10003.07,2021-08-23 05:08:30,4
30,339,4653.08,2021-01-11 08:11:40,8
31,217,47.69,2020-05-27 03:41:44,5
32,53,7319.72,2019-07-07 01:46:33,5
33,211,17434.08,2021-09-28 03:36:42,7
34,2,6047.62,2020-09-25 16:16:52,8
35,491,8118.42,2019-09-23 11:21:04,4
36,818,6837.95,2020-02-15 14:22:15,2
37,642,7931.39,2022-05-07 11:09:03,4
38,503,12270.21,2020-10-14 18:45:18,19
39,170,5931.54,2020-06-15 06:26:40,5
40,147,6707.25,2021-12-20 13:40:57,13
41,56,4393.77,2020-04-22 13:18:45,14
42,854,1333.78,2018-07-20 23:56:29,8
43,938,9461.22,2020-03-04 00:21:56,4
44,457,20899.89,2021-12-23 03:03:44,4
45,711,8565.08,2021-08-09 01:33:45,5
46,292,124.61,2018-06-18 03:31:55,10
47,202,480.13,2022-03-23 16:37:28,13
48,164,411.16,2019-04-21 19:32:36,15
49,280,4122.92,2018-04-02 04:18:24,7
50,292,28004.78,2018-06-08 00:26:57,5
51,527,1819.06,2019-05-21 11:31:41,12
52,2,152.02,2018-11-23 21:26:29,15
53,54,6257.02,2020-09-14 07:11:57,18
54,231,23291.87,2021-04-10 13:29:53,5
55,351,8707.82,2020-11-23 19:26:19,20
56,329,2087.86,2021-02-25 07:50:56,2
57,884,14120.96,2018-08-30 04:38:13,20
58,1095,12990.46,2019-10-18 02:10:39,20
59,764,784.73,2022-06-15 09:53:21,3
60,763,129.26,2018-04-20 15:20:13,12
61,748,2722.17,2020-09-14 15:29:04,8
62,267,16355.05,2019-09-12 19:18:22,13
63,269,2322.58,2020-12-03 00:04:37,15
64,73,6400.94,2018-02-02 03:17:16,15
65,442,1946.14,2022-06-12 23:22:49,9
66,150,5959.48,2021-08-05 07:00:57,15
67,601,428.29,2021-03-12 22:28:49,3
68,642,16950.32,2020-12-08 11:54:59,13
69,973,1755.27,2018-02-03 07:04:25,1
70,495,17263.01,2021-04-16 00:20:49,7
71,982,1083.60,2020-06-06 00:41:05,20
72,211,1984.47,2018-02-10 09:23:00,13
73,549,753.10,2022-07-06 16:44:42,3
74,409,16137.16,2019-06-26 12:04:11,1
